ChildId,GiftId
0,473
1,473
2,165
3,165
4,44
5,44
6,925
7,925
8,814
9,814
10,461
11,461
12,48
13,48
14,690
15,690
16,873
17,873
18,99
19,99
20,319
21,319
22,811
23,811
24,260
25,260
26,13
27,13
28,970
29,970
30,145
31,145
32,924
33,924
34,30
35,30
36,870
37,870
38,789
39,789
40,962
41,962
42,805
43,805
44,171
45,171
46,641
47,641
48,845
49,845
50,249
51,249
52,578
53,578
54,346
55,346
56,70
57,70
58,658
59,658
60,658
61,658
62,16
63,16
64,350
65,350
66,515
67,515
68,862
69,862
70,702
71,702
72,16
73,16
74,806
75,806
76,653
77,653
78,350
79,350
80,961
81,961
82,985
83,985
84,640
85,640
86,568
87,568
88,459
89,459
90,941
91,941
92,714
93,714
94,936
95,936
96,835
97,835
98,476
99,476
100,569
101,569
102,424
103,424
104,518
105,518
106,676
107,676
108,480
109,480
110,907
111,907
112,601
113,601
114,959
115,959
116,537
117,537
118,430
119,430
120,58
121,58
122,116
123,116
124,642
125,642
126,259
127,259
128,302
129,302
130,975
131,975
132,895
133,895
134,542
135,542
136,136
137,136
138,291
139,291
140,181
141,181
142,960
143,960
144,869
145,869
146,322
147,322
148,177
149,177
150,435
151,435
152,67
153,67
154,433
155,433
156,752
157,752
158,725
159,725
160,317
161,317
162,592
163,592
164,726
165,726
166,320
167,320
168,199
169,199
170,500
171,500
172,186
173,186
174,888
175,888
176,848
177,848
178,267
179,267
180,80
181,80
182,706
183,706
184,658
185,658
186,455
187,455
188,564
189,564
190,80
191,80
192,684
193,684
194,592
195,592
196,981
197,981
198,84
199,84
200,76
201,76
202,562
203,562
204,832
205,832
206,591
207,591
208,970
209,970
210,963
211,963
212,592
213,592
214,397
215,397
216,451
217,451
218,890
219,890
220,734
221,734
222,747
223,747
224,430
225,430
226,834
227,834
228,669
229,669
230,99
231,99
232,223
233,223
234,640
235,640
236,404
237,404
238,219
239,219
240,995
241,995
242,726
243,726
244,2
245,2
246,297
247,297
248,829
249,829
250,179
251,179
252,982
253,982
254,340
255,340
256,647
257,647
258,278
259,278
260,562
261,562
262,297
263,297
264,712
265,712
266,86
267,86
268,84
269,84
270,342
271,342
272,687
273,687
274,376
275,376
276,823
277,823
278,449
279,449
280,457
281,457
282,579
283,579
284,428
285,428
286,45
287,45
288,912
289,912
290,163
291,163
292,273
293,273
294,444
295,444
296,472
297,472
298,515
299,515
300,707
301,707
302,498
303,498
304,369
305,369
306,498
307,498
308,28
309,28
310,945
311,945
312,916
313,916
314,999
315,999
316,913
317,913
318,587
319,587
320,425
321,425
322,734
323,734
324,572
325,572
326,276
327,276
328,971
329,971
330,619
331,619
332,886
333,886
334,517
335,517
336,18
337,18
338,823
339,823
340,289
341,289
342,339
343,339
344,284
345,284
346,972
347,972
348,38
349,38
350,417
351,417
352,994
353,994
354,43
355,43
356,769
357,769
358,163
359,163
360,255
361,255
362,644
363,644
364,460
365,460
366,399
367,399
368,773
369,773
370,1
371,1
372,617
373,617
374,612
375,612
376,808
377,808
378,719
379,719
380,940
381,940
382,809
383,809
384,355
385,355
386,331
387,331
388,32
389,32
390,148
391,148
392,294
393,294
394,193
395,193
396,211
397,211
398,972
399,972
400,827
401,827
402,191
403,191
404,630
405,630
406,974
407,974
408,838
409,838
410,990
411,990
412,829
413,829
414,195
415,195
416,88
417,88
418,667
419,667
420,846
421,846
422,514
423,514
424,483
425,483
426,922
427,922
428,677
429,677
430,880
431,880
432,809
433,809
434,804
435,804
436,81
437,81
438,138
439,138
440,326
441,326
442,453
443,453
444,269
445,269
446,721
447,721
448,468
449,468
450,320
451,320
452,384
453,384
454,151
455,151
456,262
457,262
458,669
459,669
460,630
461,630
462,741
463,741
464,134
465,134
466,803
467,803
468,618
469,618
470,616
471,616
472,938
473,938
474,524
475,524
476,820
477,820
478,878
479,878
480,928
481,928
482,963
483,963
484,521
485,521
486,895
487,895
488,50
489,50
490,240
491,240
492,544
493,544
494,771
495,771
496,428
497,428
498,162
499,162
500,756
501,756
502,29
503,29
504,622
505,622
506,276
507,276
508,182
509,182
510,115
511,115
512,963
513,963
514,497
515,497
516,456
517,456
518,933
519,933
520,533
521,533
522,119
523,119
524,738
525,738
526,612
527,612
528,938
529,938
530,88
531,88
532,311
533,311
534,547
535,547
536,781
537,781
538,867
539,867
540,548
541,548
542,374
543,374
544,363
545,363
546,816
547,816
548,277
549,277
550,482
551,482
552,480
553,480
554,210
555,210
556,776
557,776
558,616
559,616
560,310
